Address,Municipality,Locality,LAT,LONG,Updated,Zip,Distance Breaks,Distance Rank,Distance
6528 BLENHEIM RD,Powhatan County,POWHATAN,37.53299548,-78.11106628,2019-06-04,23139,1.0 - 2.0 Mile,316,1.62
6386 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48448166,-78.10091419,2019-06-04,23139,3.0 - 5.0 Mile,1639,4.95
6402 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48464777,-78.101742,2019-06-04,23139,3.0 - 5.0 Mile,1619,4.93
6400 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48567804,-78.10194149,2019-06-04,23139,3.0 - 5.0 Mile,1579,4.85
6390 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48624998,-78.10098501,2019-06-04,23139,3.0 - 5.0 Mile,1566,4.83
6394 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48711698,-78.10119427,2019-06-04,23139,3.0 - 5.0 Mile,1532,4.77
1187 FLIPPEN RD,Powhatan County,POWHATAN,37.48216309,-78.11699179,2019-06-04,23139,3.0 - 5.0 Mile,1626,4.94
1160 FLIPPEN RD,Powhatan County,POWHATAN,37.48588214,-78.11926511,2019-06-04,23139,3.0 - 5.0 Mile,1485,4.67
1156 FLIPPEN RD,Powhatan County,POWHATAN,37.48663702,-78.11713832,2019-06-04,23139,3.0 - 5.0 Mile,1462,4.63
1209 FLIPPEN RD,Powhatan County,POWHATAN,37.48472105,-78.12194198,2019-06-04,23139,3.0 - 5.0 Mile,1518,4.74
1211 FLIPPEN RD,Powhatan County,POWHATAN,37.4873138,-78.12003093,2019-06-04,23139,3.0 - 5.0 Mile,1424,4.57
6390 BLENHEIM RD,Powhatan County,POWHATAN,37.52124776,-78.10023656,2019-06-04,23139,2.0 - 3.0 Mile,590,2.62
6425 BLENHEIM RD,Powhatan County,POWHATAN,37.52197604,-78.10605078,2019-06-04,23139,2.0 - 3.0 Mile,544,2.42
6418 BLENHEIM RD,Powhatan County,POWHATAN,37.52330587,-78.09980584,2019-06-04,23139,2.0 - 3.0 Mile,565,2.51
6430 BLENHEIM RD,Powhatan County,POWHATAN,37.52466187,-78.10335844,2019-06-04,23139,2.0 - 3.0 Mile,511,2.33
6454 BLENHEIM RD,Powhatan County,POWHATAN,37.52793276,-78.104247,2019-06-04,23139,2.0 - 3.0 Mile,452,2.11
6455 BLENHEIM RD,Powhatan County,POWHATAN,37.52539102,-78.1094836,2019-06-04,23139,2.0 - 3.0 Mile,458,2.13
6500 BLENHEIM RD,Powhatan County,POWHATAN,37.53375593,-78.10475864,2019-06-04,23139,1.0 - 2.0 Mile,358,1.77
215 FRENCHS STORE RD,Powhatan County,POWHATAN,37.52107107,-78.11154477,2019-06-04,23040,2.0 - 3.0 Mile,528,2.37
1203 FLIPPEN RD,Powhatan County,POWHATAN,37.48298216,-78.11805702,2019-06-04,23139,3.0 - 5.0 Mile,1586,4.88
1189 FLIPPEN RD,Powhatan County,POWHATAN,37.48176683,-78.11754566,2019-06-04,23139,3.0 - 5.0 Mile,1666,4.96
6444 BLENHEIM RD,Powhatan County,POWHATAN,37.52642355,-78.10426432,2019-06-04,23139,2.0 - 3.0 Mile,475,2.20
1205 FLIPPEN RD,Powhatan County,POWHATAN,37.48401124,-78.11917312,2019-06-04,23139,3.0 - 5.0 Mile,1547,4.80
1181 FLIPPEN RD,Powhatan County,POWHATAN,37.4817474,-78.11644205,2019-06-04,23139,3.0 - 5.0 Mile,1671,4.97
6464 BLENHEIM RD,Powhatan County,POWHATAN,37.52701375,-78.10620906,2019-06-04,23139,2.0 - 3.0 Mile,451,2.11
6530 BLENHEIM RD,Powhatan County,POWHATAN,37.53314001,-78.11055479,2019-06-04,23139,1.0 - 2.0 Mile,319,1.63
6360 HALEFORD DR,Powhatan County,POWHATAN,37.5366236,-78.09725611,2019-06-04,23139,1.0 - 2.0 Mile,397,1.92
6486 BLENHEIM RD,Powhatan County,POWHATAN,37.53132319,-78.10793052,2019-06-04,23139,1.0 - 2.0 Mile,369,1.81
1189A FLIPPEN RD A,Powhatan County,POWHATAN,37.48178064,-78.11763694,2019-06-04,23139,3.0 - 5.0 Mile,1663,4.96
6484 BLENHEIM RD,Powhatan County,POWHATAN,37.52941237,-78.1072513,2019-06-04,23139,1.0 - 2.0 Mile,403,1.94
1201 FLIPPEN RD,Powhatan County,POWHATAN,37.48262547,-78.11744572,2019-06-04,23139,3.0 - 5.0 Mile,1607,4.91
6424 BLENHEIM RD,Powhatan County,POWHATAN,37.52455523,-78.10171499,2019-06-04,23139,2.0 - 3.0 Mile,532,2.38
6474 BLENHEIM RD,Powhatan County,POWHATAN,37.52827203,-78.10624078,2019-06-04,23139,2.0 - 3.0 Mile,431,2.04
1191 FLIPPEN RD,Powhatan County,POWHATAN,37.48174286,-78.11860496,2019-06-04,23139,3.0 - 5.0 Mile,1659,4.96
1193 FLIPPEN RD,Powhatan County,POWHATAN,37.48187543,-78.11940681,2019-06-04,23139,3.0 - 5.0 Mile,1637,4.95
1195 FLIPPEN RD,Powhatan County,POWHATAN,37.48277155,-78.11980723,2019-06-04,23139,3.0 - 5.0 Mile,1589,4.89
6494 BLENHEIM RD,Powhatan County,POWHATAN,37.53578757,-78.10414746,2019-06-04,23139,1.0 - 2.0 Mile,330,1.68
6496 BLENHEIM RD,Powhatan County,POWHATAN,37.53389424,-78.10148843,2019-06-04,23139,1.0 - 2.0 Mile,382,1.88
6544 BLENHEIM RD,Powhatan County,POWHATAN,37.53417558,-78.1121503,2019-06-04,23139,1.0 - 2.0 Mile,285,1.52
654 FRENCHS STORE ROAD,Cumberland County,CUMBERLAND,37.50144971,-78.14554648,2019-09-11,23040,3.0 - 5.0 Mile,970,3.73
79 BERGERS LANE,Cumberland County,CUMBERLAND,37.49714688,-78.14955522,2019-09-11,23040,3.0 - 5.0 Mile,1152,4.08
63 BERGERS LANE,Cumberland County,CUMBERLAND,37.49751043,-78.1498822,2019-09-11,23040,3.0 - 5.0 Mile,1140,4.06
150 BRANSFORD ROAD,Cumberland County,CUMBERLAND,37.48628673,-78.14752293,2019-09-11,23040,3.0 - 5.0 Mile,1531,4.77
11 RUSSELLS WAY,Cumberland County,CUMBERLAND,37.49329578,-78.15275307,2019-09-11,23040,3.0 - 5.0 Mile,1299,4.39
7 BOOKER LANE,Cumberland County,CUMBERLAND,37.49329674,-78.16081201,2019-09-11,23040,3.0 - 5.0 Mile,1399,4.53
