Address,Municipality,Locality,LAT,LONG,Updated,Zip,Distance Breaks,Distance Rank ,Distance
47 LANDUS DRI*,Cumberland County,CUMBERLAND,37.55302593,-78.22944173,2019-09-11,23040,3.0 - 5.0 Mile,2163,4.96
29 LANDUS DRI*,Cumberland County,CUMBERLAND,37.55207159,-78.22922968,2019-09-11,23040,3.0 - 5.0 Mile,2160,4.95
19 LANDUS DRI*,Cumberland County,CUMBERLAND,37.55117976,-78.22934495,2019-09-11,23040,3.0 - 5.0 Mile,2172,4.97
20 LANDUS DRI*,Cumberland County,CUMBERLAND,37.55127969,-78.22803447,2019-09-11,23040,3.0 - 5.0 Mile,2100,4.89
69 BONBROOK CREEK ROAD,Cumberland County,CUMBERLAND,37.54923733,-78.22917094,2019-09-11,23040,3.0 - 5.0 Mile,2181,4.97
65 BONBROOK CREEK ROAD,Cumberland County,CUMBERLAND,37.54868021,-78.22861272,2019-09-11,23040,3.0 - 5.0 Mile,2154,4.95
63 BONBROOK CREEK ROAD,Cumberland County,CUMBERLAND,37.54809615,-78.2282787,2019-09-11,23040,3.0 - 5.0 Mile,2142,4.94
53 BONBROOK CREEK ROAD,Cumberland County,CUMBERLAND,37.54921858,-78.2269818,2019-09-11,23040,3.0 - 5.0 Mile,2069,4.86
31 A & H LANE,Cumberland County,CUMBERLAND,37.57696196,-78.22738561,2019-09-11,23040,3.0 - 5.0 Mile,2180,4.97
591 JENKINS CHURCH ROAD,Cumberland County,CUMBERLAND,37.56575739,-78.22639144,2019-09-11,23040,3.0 - 5.0 Mile,2029,4.80
589 JENKINS CHURCH ROAD,Cumberland County,CUMBERLAND,37.56467464,-78.22665201,2019-09-11,23040,3.0 - 5.0 Mile,2038,4.80
14 A & H LANE,Cumberland County,CUMBERLAND,37.57542994,-78.22785133,2019-09-11,23040,3.0 - 5.0 Mile,2184,4.98
5 LANDUS DR,Cumberland County,CUMBERLAND,37.55002712,-78.22912585,2019-09-11,23040,3.0 - 5.0 Mile,2168,4.96
6528 BLENHEIM RD,Powhatan County,POWHATAN,37.53299548,-78.11106628,2019-06-04,23139,0.50 - 1.0 Mile,276,0.86
6377 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48219959,-78.09800371,2019-06-04,23139,3.0 - 5.0 Mile,1728,4.44
1041 CLEMENT TOWN RD,Powhatan County,POWHATAN,37.47393167,-78.09931301,2019-06-04,23139,3.0 - 5.0 Mile,2188,4.98
1065 CLEMENT TOWN RD,Powhatan County,POWHATAN,37.47572332,-78.10209216,2019-06-04,23139,3.0 - 5.0 Mile,2052,4.83
6388 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48294706,-78.10066393,2019-06-04,23139,3.0 - 5.0 Mile,1668,4.35
6386 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48448166,-78.10091419,2019-06-04,23139,3.0 - 5.0 Mile,1589,4.25
6402 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48464777,-78.101742,2019-06-04,23139,3.0 - 5.0 Mile,1575,4.23
6392 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48179815,-78.1010799,2019-06-04,23139,3.0 - 5.0 Mile,1723,4.43
6400 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48567804,-78.10194149,2019-06-04,23139,3.0 - 5.0 Mile,1524,4.16
6390 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48624998,-78.10098501,2019-06-04,23139,3.0 - 5.0 Mile,1500,4.13
6394 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48711698,-78.10119427,2019-06-04,23139,3.0 - 5.0 Mile,1465,4.07
6401 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47955634,-78.10167985,2019-06-04,23139,3.0 - 5.0 Mile,1838,4.57
6425 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48070348,-78.10284991,2019-06-04,23139,3.0 - 5.0 Mile,1773,4.48
6449 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48028857,-78.10405497,2019-06-04,23139,3.0 - 5.0 Mile,1789,4.50
6483 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47962664,-78.10571571,2019-06-04,23139,3.0 - 5.0 Mile,1809,4.54
6480 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.48050776,-78.10804555,2019-06-04,23139,3.0 - 5.0 Mile,1755,4.46
6471 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47903744,-78.10576335,2019-06-04,23139,3.0 - 5.0 Mile,1840,4.58
6495 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47967832,-78.10845082,2019-06-04,23139,3.0 - 5.0 Mile,1797,4.52
6485 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47898764,-78.10787527,2019-06-04,23139,3.0 - 5.0 Mile,1833,4.57
6493 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.4769401,-78.1071108,2019-06-04,23139,3.0 - 5.0 Mile,1963,4.71
6555 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47899468,-78.11216983,2019-06-04,23139,3.0 - 5.0 Mile,1816,4.55
1150 FLIPPEN RD,Powhatan County,POWHATAN,37.48117192,-78.11352186,2019-06-04,23139,3.0 - 5.0 Mile,1694,4.40
1187 FLIPPEN RD,Powhatan County,POWHATAN,37.48216309,-78.11699179,2019-06-04,23139,3.0 - 5.0 Mile,1650,4.32
1160 FLIPPEN RD,Powhatan County,POWHATAN,37.48588214,-78.11926511,2019-06-04,23139,3.0 - 5.0 Mile,1469,4.07
1156 FLIPPEN RD,Powhatan County,POWHATAN,37.48663702,-78.11713832,2019-06-04,23139,3.0 - 5.0 Mile,1414,4.02
1209 FLIPPEN RD,Powhatan County,POWHATAN,37.48472105,-78.12194198,2019-06-04,23139,3.0 - 5.0 Mile,1531,4.16
1211 FLIPPEN RD,Powhatan County,POWHATAN,37.4873138,-78.12003093,2019-06-04,23139,3.0 - 5.0 Mile,1388,3.97
6591 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47788817,-78.11471482,2019-06-04,23139,3.0 - 5.0 Mile,1880,4.62
6619 OLD BUCKINGHAM RD,Powhatan County,POWHATAN,37.47702496,-78.11785546,2019-06-04,23139,3.0 - 5.0 Mile,1934,4.68
1071 EVANS RD,Powhatan County,POWHATAN,37.47485004,-78.1216263,2019-06-04,23139,3.0 - 5.0 Mile,2055,4.84
1020 EVANS RD,Powhatan County,POWHATAN,37.47406041,-78.12117589,2019-06-04,23139,3.0 - 5.0 Mile,2099,4.89
1015 EVANS RD,Powhatan County,POWHATAN,37.47273664,-78.12244766,2019-06-04,23139,3.0 - 5.0 Mile,2197,4.99
6390 BLENHEIM RD,Powhatan County,POWHATAN,37.52124776,-78.10023656,2019-06-04,23139,1.0 - 2.0 Mile,548,1.79
6425 BLENHEIM RD,Powhatan County,POWHATAN,37.52197604,-78.10605078,2019-06-04,23139,1.0 - 2.0 Mile,517,1.66
6418 BLENHEIM RD,Powhatan County,POWHATAN,37.52330587,-78.09980584,2019-06-04,23139,1.0 - 2.0 Mile,519,1.67
